IR Temperature,NTC Temperature
25.5,25.3
30,31
31,32
31.3,33.7
32,34.1
33,35.2
33.9,36.2
35.1,36.5
49.6,52.4
49.5,53.5
50.2,52.9
51.2,54
52.7,56.9
53.2,55.6
54,57.7
55.8,58.9
56.2,60.1
57.2,60
57.8,60.2
58.8,62.4
59.5,63
59.8,62.4
60.1,63.8
61,65.2
61.5,64.7
61.9,65.8
62.2,66.9
64.5,69.9
65.4,70.4
65.8,71.5
66.9,72.7
68,73.6
68.5,74
69.3,74.5
70.5,75.7
69.2,75.2
70.1,75.7
71.6,77
72.5,77.9
72.9,78
73.6,79.3
74.4,79.8
75.2,80.1
75.9,81.9
76.3,82.5
77.1,82.3
77.8,83.8
78.6,84.4
79.1,84.6
79.4,85.3
80.3,85.9
81,86.6
81.6,87.5
82.1,87.8
82.4,88.2
83.3,88.6
84,89.0
84.2,90.2
84.7,91
85,91.3
85.3,91.5
85.6,92.4
86,92.5
86.5,93.5
87.2,94
87.5,94.8
88.2,95.5
88.9,96
89.1,97
89.8,96.7
90.1,97.9
90.4,97.9
90.9,98.3
91.2,98.5
91.3,99
91.9,99.2
92.2,99.2
92.3,98.8
93.4,99.3
18.65,19.15
18.91,19.01
18.59,18.98
18.85,18.98
18.63,19.05
18.63,19.05
18.55,19.05
18.85,19.05
18.81,19.05
18.65,19.05
18.75,19.02
18.95,19.02
18.95,19.05
18.81,19.02
18.87,19.02
18.71,19.05
18.59,19.05
18.65,19.05
18.75,19.05
18.87,18.94
18.75,18.94
18.47,18.97
18.55,18.97
18.81,18.88
18.75,19.17
18.65,19.17
18.59,18.97
18.87,19.03
18.71,19.03
18.71,19.08
18.75,19.03
18.87,19.03
18.63,19.08
18.65,19.3
18.71,19.3
18.75,19.33
18.63,19.93
18.47,19.93
18.59,20.0
18.65,20.0
18.53,19.96
18.69,20.13
18.69,20.13
18.91,20.35
18.87,20.56
18.81,20.56
18.97,20.92
19.01,21.24
19.17,21.24
19.45,21.81
19.45,21.68
19.73,21.68
19.77,22.43
19.71,22.49
20.11,22.49
20.17,22.65
20.09,22.9
20.21,22.9
20.33,22.96
20.31,22.96
20.37,22.66
20.59,22.96
20.55,22.96
20.67,23.12
20.45,23.09
20.59,23.09
20.77,23.17
20.51,23.47
20.77,23.47
20.89,23.69
21.01,24.94
21.01,24.94
21.07,24.96
21.39,24.69
21.39,24.69
21.45,24.64
21.61,24.64
21.67,24.45
21.77,24.39
22.05,24.39
22.25,24.38
22.01,24.62
22.29,24.62
22.37,24.57
22.29,24.46
22.31,24.46
22.59,24.65
22.57,24.73
22.69,24.73
22.65,24.62
22.77,24.62
22.63,24.62
22.71,24.73
23.03,24.73
22.93,25.03
23.05,26.22
23.03,26.22
23.21,26.95
23.21,27.36
23.23,27.36
23.33,27.06
23.47,27.22
23.57,27.22
23.79,27.23
23.53,27.25
23.63,27.25
23.51,27.37
23.57,27.42
23.79,27.42
23.81,27.26
23.71,27.26
23.85,27.83
24.09,28.12
24.05,28.12
24.41,27.8
24.29,27.99
24.41,27.99
24.39,27.99
24.59,27.99
24.39,27.99
24.59,28.18
24.69,28.58
24.87,28.58
24.59,28.75
24.99,28.8
24.83,28.8
25.11,28.72
25.07,29.13
25.07,29.13
25.29,29.7
25.41,29.7
25.49,29.61
25.61,29.51
25.55,29.51
25.55,29.83
25.67,29.72
25.91,29.72
26.03,30.18
25.87,30.24
26.29,30.24
26.47,30.94
26.61,30.62
26.43,30.62
26.65,30.11
26.73,30.21
26.65,30.21
26.55,30.49
26.65,30.49
26.87,30.54
27.03,30.75
27.31,30.75
27.25,30.94
27.21,31.16
27.35,31.16
27.75,31.29
27.69,31.53
27.69,31.53
27.95,31.67
28.07,31.53
28.27,31.53
28.13,32.02
28.45,31.91
28.37,31.91
28.71,31.86
28.47,31.86
28.53,33.23
28.57,33.09
28.57,33.09
28.89,33.15
28.77,32.96
28.83,32.96
28.95,32.93
29.09,32.93
28.85,32.93
28.99,33.58
29.19,33.66
29.25,33.66
29.23,34.06
29.51,34.17
29.49,34.17
29.55,34.17
29.83,34.17
29.91,34.06
29.97,34.06
30.15,34.06
30.05,33.93
30.23,34.38
30.31,34.38
30.33,34.65
30.59,34.49
30.51,34.49
30.73,35.0
31.07,34.95
30.99,34.95
31.35,35.24
31.05,35.41
31.41,35.41
31.39,35.44
31.41,35.44
31.67,35.92
31.57,36.16
31.75,36.16
32.21,35.94
32.13,36.59
32.35,36.59
32.35,36.27
32.49,36.44
32.53,36.44
32.89,36.6
32.95,36.62
32.95,36.62
33.03,37.65
33.25,37.13
33.03,37.13
33.33,37.54
33.27,37.38
33.29,37.38
33.21,37.3
33.27,37.3
33.49,37.51
33.49,37.62
33.47,37.62
33.77,38.77
33.79,38.83
33.87,38.83
34.09,38.72
34.25,38.53
34.37,38.53
34.33,38.24
34.53,38.48
34.47,38.48
34.61,38.75
34.67,38.64
34.81,38.64
34.69,38.8
34.81,38.8
34.91,39.29
34.89,39.39
34.81,39.39
34.83,39.69
35.01,39.98
35.13,39.98
35.21,39.9
35.47,39.82
35.47,39.82
35.53,40.06
35.47,40.06
35.99,40.06
36.09,39.85
36.21,40.2
36.17,40.2
36.01,40.38
36.21,40.38
36.17,40.41
36.17,40.57
36.45,40.57
36.55,40.36
36.49,40.25
36.79,40.25
36.65,41.64
36.61,41.91
36.71,41.91
36.95,41.72
36.77,42.25
36.93,42.25
37.03,42.36
37.09,42.44
37.09,42.44
37.21,42.36
37.13,42.36
37.53,42.39
37.55,41.99
37.71,41.99
37.69,42.04
37.87,42.52
37.95,42.52
38.21,42.89
38.19,43.35
38.29,43.35
38.45,43.27
38.51,43.78
38.53,43.78
38.45,44.1
38.63,43.7
38.79,43.7
39.13,43.7
38.93,43.7
39.19,43.62
39.09,43.54
39.15,43.54
39.31,43.59
39.47,44.1
39.63,44.1
39.49,44.13
39.77,43.96
39.67,43.96
39.75,44.07
40.09,44.36
39.83,44.36
40.01,45.24
39.95,45.4
40.09,45.4
40.27,46.07
40.13,46.07
40.21,45.64
40.39,45.67
40.51,45.67
40.81,46.02
40.99,46.05
41.07,46.05
41.17,46.34
41.11,46.05
41.21,46.05
41.17,46.63
41.31,46.34
41.25,46.34
41.55,46.55
41.43,46.71
41.47,46.71
41.73,47.06
41.93,47.06
41.87,47.46
41.95,47.22
42.03,47.22
42.05,47.38
42.19,47.22
42.35,47.22
42.39,47.27
42.35,47.19
42.61,47.19
42.73,47.03
42.83,47.73
42.91,47.73
42.97,48.1
42.93,48.69
43.21,48.69
43.21,48.82
43.27,48.7
43.29,48.7
43.39,48.69
43.61,48.69
43.63,48.77
43.71,48.85
43.71,48.85
43.81,48.86
44.11,48.64
44.15,48.64
44.09,49.1
44.31,48.99
44.39,48.99
44.57,49.76
44.65,49.79
44.63,49.79
44.77,49.97
44.93,49.97
44.87,49.97
45.13,50.3
45.03,50.3
45.09,50.16
45.09,50.3
45.17,50.3
45.07,50.35
45.13,51.04
45.35,51.04
45.53,50.55
45.53,50.38
45.67,50.38
45.59,50.16
45.71,50.75
45.83,50.75
46.15,51.15
45.91,51.15
46.11,51.15
46.25,51.04
46.17,51.04
46.37,51.71
46.61,52.18
46.75,52.18
46.81,52.16
47.09,52.15
46.97,52.15
47.11,52.5
47.09,52.4
47.31,52.4
47.35,52.34
47.41,52.48
47.43,52.48
47.45,52.93
47.77,53.03
47.75,53.03
47.77,52.95
47.91,52.95
47.99,52.85
48.17,52.98
48.23,52.98
48.25,52.85
48.49,52.95
48.51,52.95
48.53,53.3
48.63,53.7
48.61,53.7
48.79,53.72
48.55,53.78
48.81,53.78
48.65,53.67
48.97,53.46
48.87,53.46
48.99,54.15
49.15,54.15
49.25,54.47
49.25,54.55
49.29,54.55
49.43,54.55
49.43,54.89
49.61,54.89
49.61,55.58
49.69,55.66
49.85,55.66
49.91,55.74
49.93,55.61
49.93,55.61
50.05,55.82
50.07,55.64
50.27,55.64
50.33,55.69
50.35,55.74
50.49,55.74
50.47,55.88
50.79,55.88
50.75,55.82
50.63,55.72
50.81,55.72
51.17,55.66
50.97,55.88
51.23,55.88
51.23,56.83
51.39,56.94
51.45,56.94
51.49,57.04
51.47,57.55
51.69,57.55
51.69,57.2
51.75,57.23
52.03,57.23
51.99,57.52
52.11,57.52
52.25,57.79
52.29,57.81
52.29,57.81
52.35,58.11
52.43,58.19
52.45,58.19
52.43,58.43
52.51,58.72
52.59,58.72
52.87,58.53
52.93,58.82
52.91,58.82
53.01,58.61
53.13,59.14
53.33,59.14
53.33,59.52
53.33,59.52
53.57,59.41
53.73,59.46
53.85,59.46
54.05,59.59
54.21,59.91
54.19,59.91
54.31,60.18
54.25,60.66
54.35,60.66
54.51,60.34
54.43,60.28
54.45,60.28
54.57,60.63
54.51,60.63
54.57,60.68
54.79,60.89
55.07,60.89
54.99,60.81
55.05,61.26
55.17,61.26
55.25,61.26
55.19,61.16
55.23,61.16
55.35,61.42
55.47,61.4
55.57,61.4
55.57,61.26
55.73,61.45
55.89,61.45
56.01,61.53
56.01,61.85
56.23,61.85
56.21,61.66
56.41,61.66
56.53,61.74
56.53,61.9
56.49,61.9
56.63,61.79
56.57,61.9
56.75,61.9
56.77,62.56
56.77,62.35
56.85,62.35
56.95,62.46
57.15,62.91
56.95,62.91
57.27,62.85
57.13,63.33
57.19,63.33
57.37,63.54
57.43,63.54
57.45,63.52
57.71,63.46
57.67,63.46
57.77,63.3
57.87,63.97
58.11,63.97
58.11,64.02
58.05,64.15
58.07,64.15
58.21,64.31
58.37,64.92
58.51,64.92
58.53,65.1
58.69,65.0
58.69,65.0
58.83,64.97
58.89,64.97
58.81,65.13
58.99,65.24
59.07,65.24
59.37,65.13
59.45,65.16
59.57,65.16
59.71,65.61
59.59,66.32
59.77,66.32
59.85,66.64
59.93,66.6
60.13,66.6
60.33,66.38
60.25,66.85
60.29,66.85
60.51,66.98
60.47,66.98
60.47,67.02
60.61,66.93
60.47,66.93
60.49,67.06
60.73,67.2
60.75,67.2
60.91,67.73
60.79,67.89
60.97,67.89
60.87,67.54
61.05,67.73
61.03,67.73
61.29,67.81
61.27,68.05
61.33,68.05
61.27,68.24
61.49,68.24
61.67,68.26
61.79,68.4
61.79,68.4
61.81,68.44
61.97,68.74
62.03,68.74
62.19,68.69
62.11,68.82
62.35,68.82
62.39,68.93
62.47,69.3
62.53,69.3
62.69,69.24
62.75,69.8
62.79,69.8
62.89,69.77
62.93,69.77
62.89,69.88
62.91,69.72
63.17,69.72
63.13,69.61
63.39,70.41
63.51,70.41
63.65,70.73
63.57,70.83
63.87,70.83
63.73,70.88
64.11,71.25
64.15,71.25
64.11,71.41
64.23,71.2
64.37,71.2
64.19,71.17
64.51,71.28
64.55,71.28
64.55,71.36
64.69,71.36
64.77,71.47
64.93,71.49
64.85,71.49
65.13,71.47
65.43,71.49
65.25,71.49
65.35,71.84
65.43,72.15
65.59,72.15
65.73,72.63
65.67,72.52
65.79,72.52
65.65,72.63
65.89,72.68
65.83,72.68
65.89,72.79
66.09,72.79
66.03,73.0
65.97,73.0
66.01,73.0
66.33,73.13
66.27,73.05
66.41,73.05
66.47,73.34
66.49,73.79
66.49,73.79
66.61,73.92
66.81,73.82
66.67,73.82
66.85,73.9
66.67,74.03
66.89,74.03
66.97,74.16
66.93,74.61
67.37,74.61
67.23,74.64
67.53,74.64
67.55,74.53
67.45,75.06
67.53,75.06
67.53,75.56
67.87,75.56
67.95,75.56
67.87,75.93
68.19,75.88
68.37,75.88
68.33,75.72
68.33,76.12
68.53,76.12
68.49,76.2
68.77,76.12
68.73,76.12
68.79,76.25
68.85,76.25
69.09,76.17
69.15,76.04
69.01,76.04
69.23,76.17
69.23,76.36
69.13,76.36
69.21,76.94
69.29,76.83
69.41,76.83
69.65,76.78
69.61,77.36
69.73,77.36
69.93,77.55
69.87,78.21
70.01,78.21
70.13,78.02
70.15,78.02
70.17,77.97
70.25,78.55
70.39,78.55
70.41,78.23
70.53,78.23
70.45,78.23
70.67,78.37
70.85,78.37
70.83,78.37
70.93,78.42
70.99,78.21
71.13,78.21
71.21,78.61
71.27,78.61
71.47,78.31
71.71,78.6
71.65,78.6
71.69,79.34
71.75,79.16
71.81,79.16
71.77,79.63
71.77,79.54
71.93,79.54
71.97,79.48
72.09,80.17
72.37,80.17
72.35,80.51
72.39,80.3
72.47,80.3
72.51,80.35
72.67,80.35
72.87,80.45
72.99,80.3
73.11,80.3
72.97,80.36
72.97,80.4
73.19,80.4
72.95,80.75
73.19,80.75
73.15,80.75
